1;Pogacar Tadej;UAE Team Emirates;6:02:02;
2;Healy Ben;EF Education-EasyPost;0:38;
3;Pidcock Thomas;INEOS Grenadiers;2:14;
4;Kron Andreas;Lotto Dstny;2:14;
5;Lutsenko Alexey;Astana Qazaqstan Team;2:14;
6;Bagioli Andrea;Soudal - Quick Step;3:14;
7;Van Gils Maxim;Lotto Dstny;3:14;
8;Skjelmose Mattias;Trek - Segafredo;3:14;
9;Kamp Alexander;Tudor Pro Cycling Team;3:14;
10;Zingle Axel;Cofidis;3:14;
11;Madouas Valentin;Groupama - FDJ;3:14;
12;Hindley Jai;Bora - Hansgrohe;3:14;
13;Ferron Valentin;TotalEnergies;3:14;
14;Vermeersch Gianni;Alpecin-Deceuninck;3:14;
15;Benoot Tiesj;Jumbo-Visma;3:16;
16;Geniets Kevin;Groupama - FDJ;3:16;
17;Velasco Simone;Astana Qazaqstan Team;3:40;
18;Eenkhoorn Pascal;Lotto Dstny;3:40;
19;Burgaudau Mathieu;TotalEnergies;3:40;
20;Clarke Simon;Israel - Premier Tech;3:40;
21;Cosnefroy Benoît;AG2R Citroën Team;3:40;
22;Poels Wout;Bahrain - Victorious;3:42;
23;Cavagna Rémi;Soudal - Quick Step;3:49;
24;Dujardin Sandy;TotalEnergies;4:06;
25;Van Tricht Stan;Soudal - Quick Step;4:06;
26;Van Avermaet Greg;AG2R Citroën Team;4:06;
27;Dinham Matthew;Team DSM;4:06;
28;Skujinš Toms;Trek - Segafredo;4:06;
29;Mollema Bauke;Trek - Segafredo;4:06;
30;Valter Attila;Jumbo-Visma;4:06;
31;Aranburu Alex;Movistar Team;4:06;
32;Costa Rui;Intermarché - Circus - Wanty;4:06;
33;Mohoric Matej;Bahrain - Victorious;4:06;
34;De La Cruz David;Astana Qazaqstan Team;4:06;
35;Barguil Warren;Team Arkéa Samsic;4:06;
36;Hirschi Marc;UAE Team Emirates;4:06;
37;Schmid Mauro;Soudal - Quick Step;5:02;
38;Sobrero Matteo;Team Jayco AlUla;6:17;
39;Guerreiro Ruben;Movistar Team;6:17;
40;Kragh Andersen Søren;Alpecin-Deceuninck;6:17;
41;Serrano Gonzalo;Movistar Team;8:26;
42;Kluckers Arthur;Tudor Pro Cycling Team;8:26;
43;Bonneu Kamiel;Team Flanders - Baloise;8:26;
44;Vermaerke Kevin;Team DSM;8:26;
45;Eriksson Lucas;Tudor Pro Cycling Team;8:33;
46;Sheffield Magnus;INEOS Grenadiers;10:30;
47;Barré Louis;Team Arkéa Samsic;10:30;
48;Oomen Sam;Jumbo-Visma;10:30;
49;Zimmermann Georg;Intermarché - Circus - Wanty;10:30;
50;Smith Dion;Intermarché - Circus - Wanty;10:30;
51;Aleotti Giovanni;BORA - hansgrohe;10:30;
52;Trentin Matteo;UAE Team Emirates;10:30;
53;Schelling Ide;BORA - hansgrohe;10:30;
54;Battistella Samuele;Astana Qazaqstan Team;10:30;
55;Coquard Bryan;Cofidis;10:34;
56;Dversnes Fredrik;Uno-X Pro Cycling Team;10:36;
57;Arndt Nikias;Bahrain - Victorious;10:36;
58;Monk Cyrus;Q36.5 Pro Cycling Team;10:36;
59;Berckmoes Jenno;Team Flanders - Baloise;10:36;
60;Maris Elias;Team Flanders - Baloise;10:36;
61;Rota Lorenzo;Intermarché - Circus - Wanty;10:36;
62;Molard Rudy;Groupama - FDJ;10:36;
63;Brun Nils;Tudor Pro Cycling Team;10:36;
64;Rojas José Joaquín;Movistar Team;10:36;
65;Van Den Berg Lars;Groupama - FDJ;10:36;
66;Piccolo Andrea;EF Education-EasyPost;10:36;
67;Swift Connor;INEOS Grenadiers;10:36;
68;Houle Hugo;Israel - Premier Tech;10:36;
69;Heiduk Kim;INEOS Grenadiers;10:36;
70;Shaw James;EF Education-EasyPost;10:36;
71;Livyns Arjen;Lotto Dstny;10:36;
72;Kwiatkowski Michal;INEOS Grenadiers;10:36;
73;Owsian Lukasz;Team Arkéa Samsic;10:36;
74;Stannard Robert;Alpecin-Deceuninck;10:36;
75;Juul-Jensen Christopher;Team Jayco AlUla;10:36;
76;Johannessen Tobias Halland;Uno-X Pro Cycling Team;10:36;
77;Guglielmi Simon;Team Arkéa Samsic;10:36;
DNF;Zdenek Štybar;Team Jayco AlUla;;
DNF;Aloïs Charrin;Tudor Pro Cycling Team;;
DNF;Jannik Steimle;Soudal - Quick Step;;
DNF;Jarrad Drizners;Lotto Dstny;;
DNF;Valentin Retailleau;AG2R Citroën Team;;
DNF;Mathias Vacek;Trek - Segafredo;;
DNF;Jonathan Milan;Bahrain - Victorious;;
DNF;Thomas Bonnet;TotalEnergies;;
DNF;Tosh Van Der Sande;Jumbo-Visma;;
DNF;Romain Combaud;Team DSM;;
DNF;Tom Devriendt;Q36.5 Pro Cycling Team;;
DNF;Tobias Bayer;Alpecin-Deceuninck;;
DNF;Pierre-Luc Périchon;Cofidis;;
DNF;Nicolò Parisini;Q36.5 Pro Cycling Team;;
DNF;Sjoerd Bax;UAE Team Emirates;;
DNF;Johan Jacobs;Movistar Team;;
DNF;Jonas Gregaard;Uno-X Pro Cycling Team;;
DNF;Lilian Calmejane;Intermarché - Circus - Wanty;;
DNF;Lawson Craddock;Team Jayco AlUla;;
DNF;Daryl Impey;Israel - Premier Tech;;
DNF;Julius Van Den Berg;EF Education-EasyPost;;
DNF;Mathis Le Berre;Team Arkéa Samsic;;
DNF;Michael Schär;AG2R Citroën Team;;
DNF;Otto Vergaerde;Trek - Segafredo;;
DNF;Quentin Pacher;Groupama - FDJ;;
DNF;Mattéo Vercher;TotalEnergies;;
DNF;Lennard Hofstede;Jumbo-Visma;;
DNF;Martijn Tusveld;Team DSM;;
DNF;Sander De Pestel;Team Flanders - Baloise;;
DNF;Xandro Meurisse;Alpecin-Deceuninck;;
DNF;Alexandre Delettre;Cofidis;;
DNF;Alessandro Fedeli;Q36.5 Pro Cycling Team;;
DNF;Nils Politt;BORA - hansgrohe;;
DNF;Jorge Arcas;Movistar Team;;
DNF;Anders Halland Johannessen;Uno-X Pro Cycling Team;;
DNF;Ryan Gibbons;UAE Team Emirates;;
DNF;Luke Durbridge;Team Jayco AlUla;;
DNF;Corbin Strong;Israel - Premier Tech;;
DNF;Neilson Powless;EF Education-EasyPost;;
DNF;Clément Champoussin;Team Arkéa Samsic;;
DNF;Brandon Smith Rivera;INEOS Grenadiers;;
DNF;Mika Heming;Tudor Pro Cycling Team;;
DNF;Martin Svrcek;Soudal - Quick Step;;
DNF;Rüdiger Selig;Lotto Dstny;;
DNF;Stan Dewulf;AG2R Citroën Team;;
DNF;David Gaudu;Groupama - FDJ;;
DNF;Matevž Govekar;Bahrain - Victorious;;
DNF;Vito Braet;Team Flanders - Baloise;;
DNF;Jos Van Emden;Jumbo-Visma;;
DNF;Sean Flynn;Team DSM;;
DNF;Walter Calzoni;Q36.5 Pro Cycling Team;;
DNF;Patrick Gamper;BORA - hansgrohe;;
DNF;Jelle Wallays;Cofidis;;
DNF;Martin Urianstad;Uno-X Pro Cycling Team;;
DNF;Felix Großschartner;UAE Team Emirates;;
DNF;Christian Scaroni;Astana Qazaqstan Team;;
DNF;Michael Woods;Israel - Premier Tech;;
DNF;Dries De Pooter;Intermarché - Circus - Wanty;;
DNF;Alexandre Balmer;Team Jayco AlUla;;
DNF;Jacob Eriksson;Tudor Pro Cycling Team;;
DNF;Dries Devenyns;Soudal - Quick Step;;
DNF;Harry Sweeny;Lotto Dstny;;
DNF;Mikaël Cherel;AG2R Citroën Team;;
DNF;Markus Hoelgaard;Trek - Segafredo;;
DNF;Filip Maciejuk;Bahrain - Victorious;;
DNF;Dries Van Gestel;TotalEnergies;;
DNF;Gijs Leemreize;Jumbo-Visma;;
DNF;Oscar Onley;Team DSM;;
DNF;Ward Vanhoof;Team Flanders - Baloise;;
DNF;Jimmy Janssens;Alpecin-Deceuninck;;
DNF;Jonathan Lastra;Cofidis;;
DNF;Kamil Malecki;Q36.5 Pro Cycling Team;;
DNF;Luis-Joe Lührs;BORA - hansgrohe;;
DNF;Gorka Izagirre;Movistar Team;;
DNF;Jacob Hindsgaul;Uno-X Pro Cycling Team;;
DNF;Loïc Vliegen;Intermarché - Circus - Wanty;;
DNF;Jan Maas;Team Jayco AlUla;;
DNF;Guillaume Boivin;Israel - Premier Tech;;
DNF;Sean Quinn;EF Education-EasyPost;;
DNF;Anthony Delaplace;Team Arkéa Samsic;;
DNF;Joshua Tarling;INEOS Grenadiers;;
DNF;Quinn Simmons;Trek - Segafredo;;
DNF;Fabien Grellier;TotalEnergies;;
DNF;Dorian Godon;AG2R Citroën Team;;
DNF;Romain Grégoire;Groupama - FDJ;;
DNF;Fran Miholjevic;Bahrain - Victorious;;
DNF;Alex Colman;Team Flanders - Baloise;;
DNF;Fabio Van Den Bossche;Alpecin-Deceuninck;;
DNF;Leon Heinschke;Team DSM;;
DNF;Tobias Ludvigsson;Q36.5 Pro Cycling Team;;
DNF;Sergio Higuita;BORA - hansgrohe;;
DNF;Andre Carvalho;Cofidis;;
DNF;Anthon Charmig;Uno-X Pro Cycling Team;;
DNF;Rui Oliveira;UAE Team Emirates;;
DNF;Gianni Moscon;Astana Qazaqstan Team;;
DNF;Nick Schultz;Israel - Premier Tech;;
DNF;Mikkel Frølich Honoré;EF Education-EasyPost;;