1;Godon Dorian;AG2R Citroën Team;4:51:10;
2;Healy Ben;EF Education-EasyPost;0:01;
3;Cosnefroy Benoît;AG2R Citroën Team;0:21;
4;Cavagna Rémi;Soudal - Quick Step;0:24;
5;Zingle Axel;Cofidis;0:25;
6;Kamp Alexander;Tudor Pro Cycling Team;0:25;
7;De Lie Arnaud;Lotto Dstny;0:25;
8;Bagioli Andrea;Soudal - Quick Step;0:25;
9;Skujinš Toms;Trek - Segafredo;0:25;
10;Heiduk Kim;INEOS Grenadiers;0:25;
11;Hermans Quinten;Alpecin-Deceuninck;0:25;
12;Gregaard Jonas;Uno-X Pro Cycling Team;0:25;
13;Covi Alessandro;UAE Team Emirates;0:25;
14;Busatto Francesco;Intermarché - Circus - Wanty;0:25;
15;Arndt Nikias;Bahrain - Victorious;0:25;
16;Braet Vito;Team Flanders - Baloise;0:25;
17;Barguil Warren;Team Arkéa Samsic;0:25;
18;Stannard Robert;Alpecin-Deceuninck;0:25;
19;Hirschi Marc;UAE Team Emirates;0:25;
20;Berckmoes Jenno;Team Flanders - Baloise;0:25;
21;Honoré Mikkel Frølich;EF Education-EasyPost;0:25;
22;Mertens Julian;Bingoal WB;0:25;
23;Strong Corbin;Israel - Premier Tech;0:25;
24;Calmejane Lilian;Intermarché - Circus - Wanty;0:25;
25;Ponomar Andrii;Team Arkéa Samsic;0:31;
26;Van Tricht Stan;Soudal - Quick Step;0:32;
27;Brun Nils;Tudor Pro Cycling Team;0:35;
28;Kluckers Arthur;Tudor Pro Cycling Team;0:38;
29;Warlop Jordi;Soudal - Quick Step;0:45;
30;Poels Wout;Bahrain - Victorious;0:46;
31;Charmig Anthon;Uno-X Pro Cycling Team;0:52;
32;Laurance Axel;Alpecin-Deceuninck;1:03;
33;Bonneu Kamiel;Team Flanders - Baloise;1:24;
34;Eenkhoorn Pascal;Lotto Dstny;1:44;
35;Kron Andreas;Lotto Dstny;1:44;
36;Eriksson Lucas;Tudor Pro Cycling Team;1:56;
37;Scott Jacob;Bolton Equities Black Spoke;2:54;
38;Gudmestad Tord;Uno-X Pro Cycling Team;3:05;
39;Urianstad Martin;Uno-X Pro Cycling Team;3:05;
40;Clarke Simon;Israel - Premier Tech;3:29;
41;Stewart Mark;Bolton Equities Black Spoke;5:09;
42;Finé Eddy;Cofidis;5:09;
43;Vermeersch Florian;Lotto Dstny;6:45;
44;Devenyns Dries;Soudal - Quick Step;6:45;
45;Delettre Alexandre;Cofidis;7:42;
46;Hoelgaard Markus;Trek - Segafredo;8:47;
47;Vacek Mathias;Trek - Segafredo;8:47;
48;Jensen August;Human Powered Health;8:47;
49;Owsian Lukasz;Team Arkéa Samsic;8:47;
50;Le Berre Mathis;Team Arkéa Samsic;8:47;
51;Gate Aaron;Bolton Equities Black Spoke;8:47;
52;Valgren Michael;EF Education-EasyPost;8:47;
53;Steimle Jannik;Soudal - Quick Step;8:47;
54;Maris Elias;Team Flanders - Baloise;8:47;
55;Joyce Colin;Human Powered Health;8:47;
56;De Vos Adam;Human Powered Health;8:47;
57;Johannessen Tobias Halland;Uno-X Pro Cycling Team;8:51;
58;Tarling Joshua;INEOS Grenadiers;8:53;
59;Buratti Nicolò;Bahrain - Victorious;8:53;
60;Milan Jonathan;Bahrain - Victorious;8:53;
61;Houle Hugo;Israel - Premier Tech;9:46;
DNF;Riou Alan;Team Arkéa Samsic;;
DNF;Monk Cyrus;Q36.5 Pro Cycling Team;;
DNF;Eriksson Jacob;Tudor Pro Cycling Team;;
DNF;Rivera Brandon Smith;INEOS Grenadiers;;
DNF;Bjerg Mikkel;UAE Team Emirates;;
DNF;Vermeersch Gianni;Alpecin-Deceuninck;;
DNF;De Tier Floris;Bingoal WB;;
DNF;Vliegen Loïc;Intermarché - Circus - Wanty;;
DNF;Colman Alex;Team Flanders - Baloise;;
DNF;Naesen Oliver;AG2R Citroën Team;;
DNF;Fouché James;Bolton Equities Black Spoke;;
DNF;Miholjevic Fran;Bahrain - Victorious;;
DNF;Peák Barnabás;Human Powered Health;;
DNF;Quinn Sean;EF Education-EasyPost;;
DNF;Bauer Jack;Q36.5 Pro Cycling Team;;
DNF;Zukowsky Nickolas;Q36.5 Pro Cycling Team;;
DNF;Wurf Cameron;INEOS Grenadiers;;
DNF;Hellemose Asbjørn;Trek - Segafredo;;
DNF;Hindsgaul Jacob;Uno-X Pro Cycling Team;;
DNF;Osborne Jason;Alpecin-Deceuninck;;
DNF;Laengen Vegard Stake;UAE Team Emirates;;
DNF;Paquot Tom;Intermarché - Circus - Wanty;;
DNF;Van der Beken Aaron;Bingoal WB;;
DNF;Livyns Arjen;Lotto Dstny;;
DNF;Currie Logan;Bolton Equities Black Spoke;;
DNF;Van Avermaet Greg;AG2R Citroën Team;;
DNF;Hecht Gage;Human Powered Health;;
DNF;Piccolo Andrea;EF Education-EasyPost;;
DNF;Impey Daryl;Israel - Premier Tech;;
DNF;Fedeli Alessandro;Q36.5 Pro Cycling Team;;
DNF;Kwiatkowski Michal;INEOS Grenadiers;;
DNF;Theuns Edward;Trek - Segafredo;;
DNF;Heming Mika;Tudor Pro Cycling Team;;
DNF;Svrcek Martin;Soudal - Quick Step;;
DNF;Bax Sjoerd;UAE Team Emirates;;
DNF;De Pooter Dries;Intermarché - Circus - Wanty;;
DNF;Peyskens Dimitri;Bingoal WB;;
DNF;Drizners Jarrad;Lotto Dstny;;
DNF;De Pestel Sander;Team Flanders - Baloise;;
DNF;Schär Michael;AG2R Citroën Team;;
DNF;Townsend Rory;Bolton Equities Black Spoke;;
DNF;Carvalho Andre;Cofidis;;
DNF;Van Asbroeck Tom;Israel - Premier Tech;;
DNF;Ledanois Kévin;Team Arkéa Samsic;;
DNF;Malecki Kamil;Q36.5 Pro Cycling Team;;
DNF;Charrin Aloïs;Tudor Pro Cycling Team;;
DNF;Leonard Michael;INEOS Grenadiers;;
DNF;Trentin Matteo;UAE Team Emirates;;
DNF;Meurisse Xandro;Alpecin-Deceuninck;;
DNF;Jacques Lucas;Bingoal WB;;
DNF;Smith Dion;Intermarché - Circus - Wanty;;
DNF;Van Boven Luca;Bingoal WB;;
DNF;Dewulf Stan;AG2R Citroën Team;;
DNF;Christensen Ryan;Bolton Equities Black Spoke;;
DNF;Govekar Matevž;Bahrain - Victorious;;
DNF;Krul Wessel;Human Powered Health;;
DNF;Carr Simon;EF Education-EasyPost;;
DNF;Schultz Nick;Israel - Premier Tech;;
DNF;Ludvigsson Tobias;Q36.5 Pro Cycling Team;;
DNF;Hayter Leo;INEOS Grenadiers;;
DNF;Simmons Quinn;Trek - Segafredo;;
DNF;Johannessen Anders Halland;Uno-X Pro Cycling Team;;
DNF;Kragh Andersen Søren;Alpecin-Deceuninck;;
DNF;Gibbons Ryan;UAE Team Emirates;;
DNF;Vermoote Jelle;Intermarché - Circus - Wanty;;
DNF;Meens Johan;Bingoal WB;;
DNF;Paasschens Mathijs;Lotto Dstny;;
DNF;Vanhoof Ward;Team Flanders - Baloise;;
DNF;Naesen Lawrence;AG2R Citroën Team;;
DNF;Chrétien Charles-Étienne;Human Powered Health;;
DNF;Noppé Christophe;Cofidis;;
DNF;Nizzolo Giacomo;Israel - Premier Tech;;