1;Van der Poel Mathieu;Alpecin-Deceuninck;6:25:23;
2;Ganna Filippo;INEOS Grenadiers;0:15;
3;Van Aert Wout;Jumbo-Visma;0:15;
4;Pogacar Tadej;UAE Team Emirates;0:15;
5;Kragh Andersen Søren;Alpecin-Deceuninck;0:26;
6;Pedersen Mads;Trek - Segafredo;0:26;
7;Powless Neilson;EF Education-EasyPost;0:26;
8;Mohoric Matej;Bahrain - Victorious;0:26;
9;Turgis Anthony;TotalEnergies;0:26;
10;Stuyven Jasper;Trek - Segafredo;0:26;
11;Alaphilippe Julian;Soudal - Quick Step;0:26;
12;Ballerini Davide;Soudal - Quick Step;0:32;
13;Laporte Christophe;Jumbo-Visma;0:32;
14;Cort Magnus;EF Education-EasyPost;0:32;
15;Philipsen Jasper;Alpecin-Deceuninck;0:32;
16;Ewan Caleb;Lotto Dstny;0:32;
17;Haller Marco;BORA - hansgrohe;0:32;
18;Arndt Nikias;Bahrain - Victorious;0:32;
19;Trentin Matteo;UAE Team Emirates;0:32;
20;Lampaert Yves;Soudal - Quick Step;0:32;
21;Politt Nils;BORA - hansgrohe;0:32;
22;Cosnefroy Benoît;AG2R Citroën Team;0:32;
23;Mezgec Luka;Team Jayco AlUla;0:32;
24;Sheffield Magnus;INEOS Grenadiers;0:32;
25;Serrano Gonzalo;Movistar Team;0:32;
26;Aranburu Alex;Movistar Team;0:32;
27;Neilands Krists;Israel - Premier Tech;0:32;
28;Girmay Biniam;Intermarché - Circus - Wanty;0:32;
29;Geniets Kevin;Groupama - FDJ;0:32;
30;Molard Rudy;Groupama - FDJ;0:32;
31;Rota Lorenzo;Intermarché - Circus - Wanty;0:32;
32;Narváez Jhonatan;INEOS Grenadiers;0:32;
33;García Cortina Iván;Movistar Team;0:32;
34;Valter Attila;Jumbo-Visma;0:32;
35;Oss Daniel;TotalEnergies;0:32;
36;Asgreen Kasper;Soudal - Quick Step;0:32;
37;Sobrero Matteo;Team Jayco AlUla;0:35;
38;Van Gils Maxim;Lotto Dstny;0:38;
39;Degenkolb John;Team DSM;0:56;
40;Barguil Warren;Team Arkéa Samsic;0:56;
41;Pacher Quentin;Groupama - FDJ;0:56;
42;Brambilla Gianluca;Q36.5 Pro Cycling Team;0:56;
43;Bilbao Pello;Bahrain - Victorious;0:58;
44;Sagan Peter;TotalEnergies;0:58;
45;Vendrame Andrea;AG2R Citroën Team;1:06;
46;Vanmarcke Sep;Israel - Premier Tech;1:06;
47;Velasco Simone;Astana Qazaqstan Team;1:06;
48;Consonni Simone;Cofidis;1:06;
49;Pluimers Rick;Tudor Pro Cycling Team;1:06;
50;Fedeli Alessandro;Q36.5 Pro Cycling Team;1:06;
51;Démare Arnaud;Groupama - FDJ;1:06;
52;Štybar Zdenek;Team Jayco AlUla;1:06;
53;Caruso Damiano;Bahrain - Victorious;1:06;
54;Bettiol Alberto;EF Education-EasyPost;1:06;
55;Thomas Benjamin;Cofidis;1:23;
56;Coquard Bryan;Cofidis;1:41;
57;Bol Cees;Astana Qazaqstan Team;1:48;
58;Gavazzi Francesco;EOLO-Kometa;1:48;
59;Biermans Jenthe;Team Arkéa Samsic;1:48;
60;Pasqualon Andrea;Bahrain - Victorious;1:48;
61;Warbasse Larry;AG2R Citroën Team;1:48;
62;Bystrøm Sven Erik;Intermarché - Circus - Wanty;1:48;
63;Mas Lluís;Movistar Team;1:48;
64;Magli Filippo;Green Project-Bardiani CSF-Faizanè;1:48;
65;Houle Hugo;Israel - Premier Tech;1:48;
66;DeWulf Stan;AG2R Citroën Team;1:48;
67;Wellens Tim;UAE Team Emirates;1:48;
68;Ferron Valentin;TotalEnergies;1:48;
69;Honoré Mikkel Frølich;EF Education-EasyPost;1:48;
70;Donovan Mark;Q36.5 Pro Cycling Team;1:48;
71;Vermaerke Kevin;Team DSM;1:48;
72;Ulissi Diego;UAE Team Emirates;1:48;
73;Swift Ben;INEOS Grenadiers;1:48;
74;Naesen Oliver;AG2R Citroën Team;2:42;
75;Cimolai Davide;Cofidis;4:03;
76;Sénéchal Florian;Soudal - Quick Step;4:11;
77;Bonifazio Niccolò;Intermarché - Circus - Wanty;4:11;
78;Gabburo Davide;Green Project-Bardiani CSF-Faizanè;4:11;
79;Wright Fred;Bahrain - Victorious;4:11;
80;Hermans Quinten;Alpecin-Deceuninck;4:14;
81;Vermeersch Gianni;Alpecin-Deceuninck;4:14;
82;Wirtgen Luc;Tudor Pro Cycling Team;4:52;
83;Naesen Lawrence;AG2R Citroën Team;4:52;
84;Balmer Alexandre;Team Jayco AlUla;4:52;
85;Wood Harrison;Cofidis;4:52;
86;Strong Corbin;Israel - Premier Tech;4:52;
87;Stewart Jake;Groupama - FDJ;4:52;
88;Skujins Toms;Trek - Segafredo;4:52;
89;Teunissen Mike;Intermarché - Circus - Wanty;4:52;
90;Louvel Matis;Team Arkéa Samsic;4:52;
91;Tratnik Jan;Jumbo-Visma;4:52;
92;Großschartner Felix;UAE Team Emirates;4:52;
93;De Gendt Aimé;Intermarché - Circus - Wanty;5:43;
94;De Buyst Jasper;Lotto Dstny;5:43;
95;De Lie Arnaud;Lotto Dstny;5:43;
96;Ludvigsson Tobias;Q36.5 Pro Cycling Team;6:01;
97;Bais Mattia;EOLO-Kometa;6:01;
98;Gee Derek;Israel - Premier Tech;6:01;
99;Sevilla Diego Pablo;EOLO-Kometa;6:01;
100;Dillier Silvan;Alpecin-Deceuninck;6:01;
101;Tonelli Alessandro;Green Project-Bardiani CSF-Faizanè;6:01;
102;Guglielmi Simon;Team Arkéa Samsic;6:01;
103;Sbaragli Kristian;Alpecin-Deceuninck;6:41;
104;Soupe Geoffrey;TotalEnergies;7:06;
105;Maestri Mirco;EOLO-Kometa;7:06;
106;Frison Frederik;Lotto Dstny;7:06;
107;Impey Daryl;Israel - Premier Tech;7:06;
108;Lucca Riccardo;Green Project-Bardiani CSF-Faizanè;7:06;
109;Kluckers Arthur;Tudor Pro Cycling Team;7:06;
110;Drizners Jarrad;Lotto Dstny;7:06;
111;Van Poppel Danny;BORA - hansgrohe;7:06;
112;Stork Florian;Team DSM;7:06;
113;Cataldo Dario;Trek - Segafredo;7:06;
114;Denz Nico;BORA - hansgrohe;7:06;
115;Mayrhofer Marius;Team DSM;7:06;
116;Konovalovas Ignatas;Groupama - FDJ;7:06;
117;Puppio Antonio;Q36.5 Pro Cycling Team;7:06;
118;Van Hooydonck Nathan;Jumbo-Visma;7:20;
119;Maas Jan;Team Jayco AlUla;8:06;
120;Zoccarato Samuele;Green Project-Bardiani CSF-Faizanè;8:06;
121;Declercq Tim;Soudal - Quick Step;8:10;
122;Pöstlberger Lukas;Team Jayco AlUla;8:10;
123;Devenyns Dries;Soudal - Quick Step;8:10;
124;Guarnieri Jacopo;Lotto Dstny;8:10;
125;Russo Clément;Team Arkéa Samsic;8:10;
126;Rutsch Jonas;EF Education-EasyPost;8:10;
127;Martinelli Davide;Astana Qazaqstan Team;8:10;
128;Milan Jonathan;Bahrain - Victorious;8:10;
129;Gaviria Fernando;Movistar Team;8:10;
130;Hänninen Jaakko;AG2R Citroën Team;8:10;
131;Basso Leonardo;Astana Qazaqstan Team;8:10;
132;Mozzato Luca;Team Arkéa Samsic;8:10;
133;Jacobs Johan;Movistar Team;8:10;
134;Lazkano Oier;Movistar Team;8:10;
135;Delettre Alexandre;Cofidis;8:10;
136;Affini Edoardo;Jumbo-Visma;8:57;
137;Renard Alexis;Cofidis;9:19;
138;Heming Mika;Tudor Pro Cycling Team;9:19;
139;Kwiatkowski Michal;INEOS Grenadiers;9:20;
140;Wisniowski Lukasz;EF Education-EasyPost;10:33;
141;Heiduk Kim;INEOS Grenadiers;10:33;
142;Riabushenko Alexandr;Astana Qazaqstan Team;10:33;
143;Bevilacqua Simone;EOLO-Kometa;10:33;
144;Scotson Miles;Groupama - FDJ;10:33;
145;Bissegger Stefan;EF Education-EasyPost;10:33;
146;Thalmann Roland;Tudor Pro Cycling Team;10:33;
147;Eekhoff Nils;Team DSM;10:33;
148;Rowe Luke;INEOS Grenadiers;10:33;
149;Würtz Schmidt Mads;Israel - Premier Tech;10:33;
150;Cavendish Mark;Astana Qazaqstan Team;11:56;
151;Vliegen Loïc;Intermarché - Circus - Wanty;12:34;
152;Hoelgaard Markus;Trek - Segafredo;12:34;
153;Mullen Ryan;BORA - hansgrohe;12:40;
154;Hepburn Michael;Team Jayco AlUla;12:40;
155;Tarozi Manuele;Green Project-Bardiani CSF-Faizanè;12:40;
156;Moschetti Matteo;Q36.5 Pro Cycling Team;12:40;
157;Dujardin Sandy;TotalEnergies;12:40;
158;Bohli Tom;Tudor Pro Cycling Team;12:40;
159;Vergaerde Otto;Trek - Segafredo;12:40;
160;Martin David;EOLO-Kometa;13:10;
161;Rivi Samuele;EOLO-Kometa;13:10;
162;Mulubrhan Henok;Green Project-Bardiani CSF-Faizanè;13:10;
163;Novak Domen;UAE Team Emirates;13:10;
164;Mosca Jacopo;Trek - Segafredo;13:10;
165;Charrin Aloïs;Tudor Pro Cycling Team;13:10;
166;Verre Alessandro;Team Arkéa Samsic;13:10;
167;Bittner Pavel;Team DSM;16:33;
168;Van Emden Jos;Jumbo-Visma;20:32;
169;Abreha Negasi Haylu;Q36.5 Pro Cycling Team;22:32;
170;Dinham Matthew;Team DSM;22:32;
DNF;Covi Alessandro;UAE Team Emirates;;
DNF;Bennett Sam;BORA - hansgrohe;;
DNF;Syritsa Gleb;Astana Qazaqstan Team;;
DNF;Benedetti Cesare;BORA - hansgrohe;;
DNF;Bodnar Maciej;TotalEnergies;;