Ploeg;Renner;Waarde
AG2R - Citroën;COSNEFROY B.;7
AG2R - Citroën;VAN AVERMAET G.;6
AG2R - Citroën;DEWULF S.;5
AG2R - Citroën;NAESEN O.;5
AG2R - Citroën;O'CONNOR B.;4
AG2R - Citroën;SARREAU M.;4
AG2R - Citroën;VENTURINI C.;4
AG2R - Citroën;BONNAMOUR F.;3
AG2R - Citroën;BOUCHARD G.;3
AG2R - Citroën;CHEREL M.;3
AG2R - Citroën;GALL F.;3
AG2R - Citroën;GODON D.;3
AG2R - Citroën;NAESEN L.;3
AG2R - Citroën;PARET-PEINTRE A.;3
AG2R - Citroën;PETERS N.;3
AG2R - Citroën;SCHAR M.;3
AG2R - Citroën;TOUZE D.;3
AG2R - Citroën;VENDRAME A.;3
AG2R - Citroën;WARBASSE L.;3
AG2R - Citroën;BAUDIN A.;2
AG2R - Citroën;BERTHET C.;2
AG2R - Citroën;GAUTHERAT P.;2
AG2R - Citroën;HANNINEN J.;2
AG2R - Citroën;LAPEIRA P.;2
AG2R - Citroën;PARET-PEINTRE V.;2
AG2R - Citroën;PRODHOMME N.;2
AG2R - Citroën;RAUGEL A.;2
AG2R - Citroën;RETAILLEAU V.;2
AG2R - Citroën;TRONCHON B.;2
Alpecin - Deceuninck;VAN DER POEL M.;12
Alpecin - Deceuninck;PHILIPSEN J.;8
Alpecin - Deceuninck;HERMANS Q.;7
Alpecin - Deceuninck;VERMEERSCH G.;6
Alpecin - Deceuninck;GOGL M.;5
Alpecin - Deceuninck;GROVES K.;5
Alpecin - Deceuninck;KRAGH ANDERSEN S.;5
Alpecin - Deceuninck;DE BONDT D.;4
Alpecin - Deceuninck;MEURISSE X.;4
Alpecin - Deceuninck;RICKAERT J.;4
Alpecin - Deceuninck;STANNARD R.;4
Alpecin - Deceuninck;BALLERSTEDT M.;3
Alpecin - Deceuninck;BAYER T.;3
Alpecin - Deceuninck;CONCI N.;3
Alpecin - Deceuninck;DILLIER S.;3
Alpecin - Deceuninck;GHYS R.;3
Alpecin - Deceuninck;JANSSENS J.;3
Alpecin - Deceuninck;KIELICH T.;3
Alpecin - Deceuninck;KRIEGER A.;3
Alpecin - Deceuninck;LAURANCE A.;3
Alpecin - Deceuninck;LEYSEN S.;3
Alpecin - Deceuninck;MARECZKO J.;3
Alpecin - Deceuninck;OLDANI S.;3
Alpecin - Deceuninck;OSBORNE J.;3
Alpecin - Deceuninck;PLANCKAERT E.;3
Alpecin - Deceuninck;RIESEBEEK O.;3
Alpecin - Deceuninck;SBARAGLI K.;3
Alpecin - Deceuninck;SINKELDAM R.;3
Alpecin - Deceuninck;TAMINIAUX L.;3
Alpecin - Deceuninck;VAN DEN BOSSCHE F.;3
Alpecin - Deceuninck;BASTIAENS A.;2
Alpecin - Deceuninck;GAZE S.;2
Alpecin - Deceuninck;PLOWRIGHT J.;2
Arkéa - Samsic;BOUHANNI N.;6
Arkéa - Samsic;HOFSTETTER H.;6
Arkéa - Samsic;BARGUIL W.;5
Arkéa - Samsic;CAPIOT A.;5
Arkéa - Samsic;MOZZATO L.;5
Arkéa - Samsic;BIERMANS J.;4
Arkéa - Samsic;LOUVEL M.;4
Arkéa - Samsic;MCLAY D.;4
Arkéa - Samsic;BARRE L.;3
Arkéa - Samsic;CHAMPOUSSIN C.;3
Arkéa - Samsic;DEKKER D.;3
Arkéa - Samsic;GESBERT E.;3
Arkéa - Samsic;GRONDIN D.;3
Arkéa - Samsic;GUERNALEC T.;3
Arkéa - Samsic;GUGLIELMI S.;3
Arkéa - Samsic;LEDANOIS K.;3
Arkéa - Samsic;PICHON L.;3
Arkéa - Samsic;RUSSO C.;3
Arkéa - Samsic;VAUQUELIN K.;3
Arkéa - Samsic;BOUET M.;2
Arkéa - Samsic;COSTIOU E.;2
Arkéa - Samsic;DELAPLACE A.;2
Arkéa - Samsic;EDET N.;2
Arkéa - Samsic;LE BERRE M.;2
Arkéa - Samsic;OWSIAN L.;2
Arkéa - Samsic;PONOMAR A.;2
Arkéa - Samsic;RIES M.;2
Arkéa - Samsic;RIOU A.;2
Arkéa - Samsic;RODRIGUEZ C.;2
Arkéa - Samsic;VERRE A.;2
Astana;LUTSENKO A.;7
Astana;CAVENDISH M.;6
Astana;BOL C.;5
Astana;BATTISTELLA S.;4
Astana;MOSCON G.;4
Astana;BASSO L.;3
Astana;BOARO M.;3
Astana;DE LA CRUZ D.;3
Astana;FEDOROV Y.;3
Astana;FELLINE F.;3
Astana;GIDICH Y.;3
Astana;GRUZDEV D.;3
Astana;LAAS M.;3
Astana;MARTINELLI D.;3
Astana;RIABUSHENKO A.;3
Astana;SANCHEZ L.;3
Astana;SYRITSA G.;3
Astana;VELASCO S.;3
Astana;BRUSSENSKIY G.;2
Astana;CHZHAN I.;2
Astana;DOMBROWSKI J.;2
Astana;GAROFOLI G.;2
Astana;NATAROV Y.;2
Astana;NIBALI A.;2
Astana;NURLYKHASSYM N.;2
Astana;PRONSKIY V.;2
Astana;ROMO J.;2
Astana;SCARONI C.;2
Astana;TEJADA H.;2
Astana;ZEITS A.;2
Bahrain - Victorious;MOHORIC M.;8
Bahrain - Victorious;WRIGHT F.;6
Bahrain - Victorious;BAUHAUS P.;5
Bahrain - Victorious;BILBAO P.;5
Bahrain - Victorious;HAIG J.;5
Bahrain - Victorious;LANDA M.;5
Bahrain - Victorious;BUITRAGO S.;4
Bahrain - Victorious;CARUSO D.;4
Bahrain - Victorious;HAUSSLER H.;4
Bahrain - Victorious;MADER G.;4
Bahrain - Victorious;MILAN J.;4
Bahrain - Victorious;PASQUALON A.;4
Bahrain - Victorious;POELS W.;4
Bahrain - Victorious;ARNDT N.;3
Bahrain - Victorious;MIHOLJEVIC F.;3
Bahrain - Victorious;PERNSTEINER H.;3
Bahrain - Victorious;SUTTERLIN J.;3
Bahrain - Victorious;ARASHIRO Y.;2
Bahrain - Victorious;GOVEKAR M.;2
Bahrain - Victorious;GRADEK K.;2
Bahrain - Victorious;KEPPLINGER R.;2
Bahrain - Victorious;MACIEJUK F.;2
Bahrain - Victorious;MADAN A.;2
Bahrain - Victorious;PRICE-PEJTERSEN J.;2
Bahrain - Victorious;RAJOVIC D.;2
Bahrain - Victorious;SCOTT C.;2
Bahrain - Victorious;TU S.;2
Bahrain - Victorious;ZAMBANINI E.;2
Bingoal - WB;DE TIER F.;3
Bingoal - WB;LAUK K.;3
Bingoal - WB;ROBEET L.;3
Bingoal - WB;SALBY A.;3
Bingoal - WB;TEUGELS L.;3
Bingoal - WB;TIZZA M.;3
Bingoal - WB;VAN KEIRSBULCK G.;3
Bingoal - WB;VAN ROOY K.;3
Bingoal - WB;BLOUWE L.;2
Bingoal - WB;DE MAEGHT D.;2
Bingoal - WB;DESAL C.;2
Bingoal - WB;GUERIN A.;2
Bingoal - WB;MALUCELLI M.;2
Bingoal - WB;MEENS J.;2
Bingoal - WB;MERTENS J.;2
Bingoal - WB;MERTZ R.;2
Bingoal - WB;PEYSKENS D.;2
Bingoal - WB;VAN BOVEN L.;2
Bingoal - WB;VAN DER BEKEN A.;2
Bingoal - WB;VANDEPITTE N.;2
Bolton Equities - Black Spoke;BATT E.;2
Bolton Equities - Black Spoke;BOSTOCK M.;2
Bolton Equities - Black Spoke;BURNETT J.;2
Bolton Equities - Black Spoke;CHRISTENSEN R.;2
Bolton Equities - Black Spoke;CURRIE L.;2
Bolton Equities - Black Spoke;FITZSIMONS M.;2
Bolton Equities - Black Spoke;FOUCHE J.;2
Bolton Equities - Black Spoke;GATE A.;2
Bolton Equities - Black Spoke;GOUGH R.;2
Bolton Equities - Black Spoke;JACKSON G.;2
Bolton Equities - Black Spoke;JONES O.;2
Bolton Equities - Black Spoke;KENCH J.;2
Bolton Equities - Black Spoke;MUDGWAY L.;2
Bolton Equities - Black Spoke;O'DONNELL B.;2
Bolton Equities - Black Spoke;ORAM J.;2
Bolton Equities - Black Spoke;SCOTT J.;2
Bolton Equities - Black Spoke;SEXTON T.;2
Bolton Equities - Black Spoke;STEWART M.;2
Bolton Equities - Black Spoke;TOWNSEND R.;2
Bolton Equities - Black Spoke;WRIGHT P.;2
Bora - Hansgrohe;BENNETT S.;7
Bora - Hansgrohe;POLITT N.;6
Bora - Hansgrohe;SCHACHMANN M.;6
Bora - Hansgrohe;VLASOV A.;6
Bora - Hansgrohe;HIGUITA S.;5
Bora - Hansgrohe;HINDLEY J.;5
Bora - Hansgrohe;JUNGELS B.;5
Bora - Hansgrohe;MEEUS J.;5
Bora - Hansgrohe;VAN POPPEL D.;5
Bora - Hansgrohe;BUCHMANN E.;4
Bora - Hansgrohe;KAMNA L.;4
Bora - Hansgrohe;KONRAD P.;4
Bora - Hansgrohe;SCHELLING I.;4
Bora - Hansgrohe;UIJTDEBROEKS C.;4
Bora - Hansgrohe;ALEOTTI G.;3
Bora - Hansgrohe;ARCHBOLD S.;3
Bora - Hansgrohe;BENEDETTI C.;3
Bora - Hansgrohe;DENZ N.;3
Bora - Hansgrohe;FABBRO M.;3
Bora - Hansgrohe;GAMPER P.;3
Bora - Hansgrohe;HALLER M.;3
Bora - Hansgrohe;KOCH J.;3
Bora - Hansgrohe;MULLEN R.;3
Bora - Hansgrohe;WALLS M.;3
Bora - Hansgrohe;WANDAHL F.;3
Bora - Hansgrohe;ZWIEHOFF B.;3
Bora - Hansgrohe;KORETZKY V.;2
Bora - Hansgrohe;LIPOWITZ F.;2
Bora - Hansgrohe;LUHRS L.;2
Bora - Hansgrohe;PALZER A.;2
Burgos - BH ;BOL J.;3
Burgos - BH ;DIAZ J.;3
Burgos - BH ;MADRAZO A.;3
Burgos - BH ;NAVARRO D.;3
Burgos - BH ;ALLENO C.;2
Burgos - BH ;ALVAREZ R.;2
Burgos - BH ;ANGULO A.;2
Burgos - BH ;APARICIO M.;2
Burgos - BH ;ARDILA A.;2
Burgos - BH ;BARTHE C.;2
Burgos - BH ;EZQUERRA J.;2
Burgos - BH ;FAGUNDEZ E.;2
Burgos - BH ;FERNANDEZ M.;2
Burgos - BH ;FRANCO A.;2
Burgos - BH ;FUENTES A.;2
Burgos - BH ;LANGELLOTTI V.;2
Burgos - BH ;OKAMIKA A.;2
Burgos - BH ;ORTS F.;2
Burgos - BH ;PELEGRI O.;2
Burgos - BH ;PENALVER M.;2
Burgos - BH ;SANCHEZ P.;2
Caja Rural - Seguros RGA;AMEZQUETA J.;2
Caja Rural - Seguros RGA;AULAR O.;2
Caja Rural - Seguros RGA;BABOR D.;2
Caja Rural - Seguros RGA;BALDERSTONE A.;2
Caja Rural - Seguros RGA;BARCELO F.;2
Caja Rural - Seguros RGA;BARRENETXEA J.;2
Caja Rural - Seguros RGA;BARTA T.;2
Caja Rural - Seguros RGA;CEPEDA J.;2
Caja Rural - Seguros RGA;ETXEBERRIA J.;2
Caja Rural - Seguros RGA;GARCIA J.;2
Caja Rural - Seguros RGA;GONZALEZ D.;2
Caja Rural - Seguros RGA;HAILEMICHAEL M.;2
Caja Rural - Seguros RGA;JOHNSTON C.;2
Caja Rural - Seguros RGA;LEITAO I.;2
Caja Rural - Seguros RGA;LOPEZ J.;2
Caja Rural - Seguros RGA;MARTIN S.;2
Caja Rural - Seguros RGA;MURGUIALDAY J.;2
Caja Rural - Seguros RGA;NICOLAU J.;2
Caja Rural - Seguros RGA;PIRA Y.;2
Caja Rural - Seguros RGA;PRADES E.;2
Caja Rural - Seguros RGA;SCHLEGEL M.;2
Cofidis;COQUARD B.;6
Cofidis;WALSCHEID M.;5
Cofidis;CONSONNI S.;4
Cofidis;MARTIN G.;4
Cofidis;ZINGLE A.;4
Cofidis;ALLEGAERT P.;3
Cofidis;CIMOLAI D.;3
Cofidis;GESCHKE S.;3
Cofidis;HERRADA J.;3
Cofidis;IZAGIRRE I.;3
Cofidis;KREDER W.;3
Cofidis;LAFAY V.;3
Cofidis;LASTRA J.;3
Cofidis;NOPPE C.;3
Cofidis;PEREZ A.;3
Cofidis;PERICHON P.;3
Cofidis;RENARD A.;3
Cofidis;ROCHAS R.;3
Cofidis;THOMAS B.;3
Cofidis;WALLAYS J.;3
Cofidis;BIDARD F.;2
Cofidis;CARVALHO A.;2
Cofidis;CHAMPION T.;2
Cofidis;DELETTRE A.;2
Cofidis;FERNANDEZ R.;2
Cofidis;FINE E.;2
Cofidis;HERRADA J.;2
Cofidis;MARIAULT A.;2
Cofidis;TOUMIRE H.;2
Cofidis;WOOD H.;2
DSM;BARDET R.;6
DSM;DAINESE A.;5
DSM;WELSFORD S.;5
DSM;DEGENKOLB J.;4
DSM;EEKHOFF N.;4
DSM;LEKNESSUND A.;4
DSM;VAN UDEN C.;4
DSM;ANDRESEN T.;3
DSM;BEVIN P.;3
DSM;BRENNER M.;3
DSM;COMBAUD R.;3
DSM;EDMONDSON A.;3
DSM;HAMILTON C.;3
DSM;HEINSCHKE L.;3
DSM;HVIDEBERG J.;3
DSM;MARKL N.;3
DSM;MAYRHOFER M.;3
DSM;ONLEY O.;3
DSM;TUSVELD M.;3
DSM;VANDENABEELE H.;3
DSM;VANHOUCKE H.;3
DSM;VERMAERKE K.;3
DSM;BITTNER P.;2
DSM;DINHAM M.;2
DSM;FLYNN S.;2
DSM;LEIJNSE E.;2
DSM;MILESI L.;2
DSM;NABERMAN T.;2
DSM;POOLE M.;2
DSM;RODENBERG F.;2
DSM;STORK F.;2
EF Education - EasyPost;BETTIOL A.;6
EF Education - EasyPost;CARAPAZ R.;5
EF Education - EasyPost;CORT M.;5
EF Education - EasyPost;POWLESS N.;5
EF Education - EasyPost;BISSEGGER S.;4
EF Education - EasyPost;CARR S.;4
EF Education - EasyPost;CARTHY H.;4
EF Education - EasyPost;CHAVES E.;4
EF Education - EasyPost;DOULL O.;4
EF Education - EasyPost;HONORE M.;4
EF Education - EasyPost;RUTSCH J.;4
EF Education - EasyPost;URAN R.;4
EF Education - EasyPost;VAN DEN BERG M.;4
EF Education - EasyPost;AMADOR A.;3
EF Education - EasyPost;CAICEDO J.;3
EF Education - EasyPost;CEPEDA J.;3
EF Education - EasyPost;DE BOD S.;3
EF Education - EasyPost;EIKING O.;3
EF Education - EasyPost;HEALY B.;3
EF Education - EasyPost;KEUKELEIRE J.;3
EF Education - EasyPost;KUDUS M.;3
EF Education - EasyPost;PADUN M.;3
EF Education - EasyPost;PICCOLO A.;3
EF Education - EasyPost;QUINN S.;3
EF Education - EasyPost;SCULLY T.;3
EF Education - EasyPost;SHAW J.;3
EF Education - EasyPost;VAN DEN BERG J.;3
EF Education - EasyPost;WISNIOWSKI L.;3
EF Education - EasyPost;CAMARGO D.;2
EF Education - EasyPost;STEINHAUSER G.;2
EOLO - Kometa;ALBANESE V.;3
EOLO - Kometa;FORTUNATO L.;3
EOLO - Kometa;GAVAZZI F.;3
EOLO - Kometa;BAIS D.;2
EOLO - Kometa;BAIS M.;2
EOLO - Kometa;BEVILACQUA S.;2
EOLO - Kometa;FANCELLU A.;2
EOLO - Kometa;FETTER E.;2
EOLO - Kometa;GAROSIO A.;2
EOLO - Kometa;LONARDI G.;2
EOLO - Kometa;MAESTRI M.;2
EOLO - Kometa;MARTIN A.;2
EOLO - Kometa;MARTIN D.;2
EOLO - Kometa;PIETROBON A.;2
EOLO - Kometa;PIGANZOLI D.;2
EOLO - Kometa;RACCANI S.;2
EOLO - Kometa;RIVI S.;2
EOLO - Kometa;SERRANO J.;2
EOLO - Kometa;SEVILLA D.;2
EOLO - Kometa;TERCERO F.;2
Flanders - Baloise;BERCKMOES J.;3
Flanders - Baloise;BONNEU K.;3
Flanders - Baloise;BRAET V.;3
Flanders - Baloise;DE WILDE G.;3
Flanders - Baloise;APERS R.;2
Flanders - Baloise;CLAEYS A.;2
Flanders - Baloise;CLYNHENS T.;2
Flanders - Baloise;COLMAN A.;2
Flanders - Baloise;DE PESTEL S.;2
Flanders - Baloise;DE VYLDER L.;2
Flanders - Baloise;DENS T.;2
Flanders - Baloise;FRETIN M.;2
Flanders - Baloise;GERITS V.;2
Flanders - Baloise;HESTERS J.;2
Flanders - Baloise;MARIS E.;2
Flanders - Baloise;VAN HEMELEN V.;2
Flanders - Baloise;VAN POUCKE A.;2
Flanders - Baloise;VANDENBRANDEN N.;2
Flanders - Baloise;VANHOOF W.;2
Flanders - Baloise;VERWILST A.;2
Green Project - Bardiani;FIORELLI F.;3
Green Project - Bardiani;TONELLI A.;3
Green Project - Bardiani;BONILLO I.;2
Green Project - Bardiani;COLNAGHI L.;2
Green Project - Bardiani;CONFORTI L.;2
Green Project - Bardiani;COVILI L.;2
Green Project - Bardiani;EL GOUZI O.;2
Green Project - Bardiani;GABBURO D.;2
Green Project - Bardiani;LUCCA R.;2
Green Project - Bardiani;MAGLI F.;2
Green Project - Bardiani;MARCELLUSI M.;2
Green Project - Bardiani;MARTINELLI A.;2
Green Project - Bardiani;MULUBRHAN H.;2
Green Project - Bardiani;NIERI A.;2
Green Project - Bardiani;PALETTI L.;2
Green Project - Bardiani;PELLIZZARI G.;2
Green Project - Bardiani;PETRUCCI M.;2
Green Project - Bardiani;PINARELLO A.;2
Green Project - Bardiani;RASTELLI L.;2
Green Project - Bardiani;SANTAROMITA A.;2
Green Project - Bardiani;SCALCO M.;2
Green Project - Bardiani;SCOTT J.;2
Green Project - Bardiani;TAROZZI M.;2
Green Project - Bardiani;TOLIO A.;2
Green Project - Bardiani;ZANONCELLO E.;2
Green Project - Bardiani;ZOCCARATO S.;2
Groupama - FDJ;DEMARE A.;7
Groupama - FDJ;KUNG S.;7
Groupama - FDJ;MADOUAS V.;7
Groupama - FDJ;GAUDU D.;6
Groupama - FDJ;GENIETS K.;4
Groupama - FDJ;LE GAC O.;4
Groupama - FDJ;MOLARD R.;4
Groupama - FDJ;PINOT T.;4
Groupama - FDJ;STEWART J.;4
Groupama - FDJ;ARMIRAIL B.;3
Groupama - FDJ;ASKEY L.;3
Groupama - FDJ;DAVY C.;3
Groupama - FDJ;GREGOIRE R.;3
Groupama - FDJ;KONOVALOVAS I.;3
Groupama - FDJ;LADAGNOUS M.;3
Groupama - FDJ;LIENHARD F.;3
Groupama - FDJ;MARTINEZ L.;3
Groupama - FDJ;PACHER Q.;3
Groupama - FDJ;PENHOET P.;3
Groupama - FDJ;SCOTSON M.;3
Groupama - FDJ;STORER M.;3
Groupama - FDJ;VAN DEN BERG L.;3
Groupama - FDJ;WATSON S.;3
Groupama - FDJ;WELTEN B.;3
